Ticker,Company Name,Weighted Sharpe,Weighted Sortino,1-Year ROC %,Weighted ROC %,Sharpe + ROC Blend,Sortino + ROC Blend,Master Blend,1-Year Max Drawdown %,Last Close,200-Day MA,Trend Check,Alpha (1Y),Beta (1Y),Dist. from 52W High %,Avg Turnover (Cr),14-Day RSI
DEN,Den Networks Limited,-0.41,-0.43,-25.01,-7.71,-0.59,-0.6,-0.54,-37.21,26.98,28.49,Fail (Down),-18.08,1.16,-26.28,2.08,45.54
DENORA,De Nora India Limited,0.37,0.42,-5.58,5.97,0.49,0.51,0.46,-36.1,798.45,749.86,Pass (Up),8.73,1.11,-15.88,0.87,49.32
DENTA,Denta Water and Infra Solutions Limited,0.55,0.58,-26.87,3.72,0.46,0.48,0.5,-52.0,287.75,292.53,Fail (Down),-10.98,1.43,-38.47,16.67,47.03
DEVIT,Dev Information Technology Limited,-0.78,-0.96,-44.04,-17.14,-1.25,-1.34,-1.15,-47.85,24.18,29.6,Fail (Down),-40.11,1.08,-44.84,0.17,44.46
DEVX,Dev Accelerator Limited,-0.64,-0.67,-46.84,-14.21,-1.03,-1.04,-0.91,-51.88,34.05,38.09,Fail (Down),-47.99,1.05,-46.84,0.36,42.39
DEVYANI,Devyani International Limited,1.3,1.92,-26.96,13.13,1.31,1.61,1.51,-49.93,137.97,122.72,Pass (Up),-18.05,1.21,-26.96,60.03,45.51
DGCONTENT,Digicontent Limited,-0.37,-0.42,-37.25,-13.42,-0.86,-0.88,-0.71,-42.87,24.12,27.67,Fail (Down),-28.23,1.29,-37.25,0.07,45.64
DHAMPURSUG,Dhampur Sugar Mills Limited,1.38,1.6,22.68,27.13,2.05,2.15,1.9,-22.88,163.59,136.78,Pass (Up),28.71,0.14,-13.79,13.16,52.53
DHANBANK,Dhanlaxmi Bank Limited,0.57,0.75,22.73,16.15,1.09,1.18,0.98,-29.2,31.15,28.66,Pass (Up),35.55,1.19,-14.0,5.5,52.6
DHANUKA,Dhanuka Agritech Limited,-1.0,-0.93,-37.75,-10.44,-1.02,-0.99,-0.99,-43.05,980.0,1071.33,Fail (Down),-40.12,0.79,-37.75,3.43,41.72
DHARAN,DHARAN INFRA-EPC LIMITED,-1.04,-0.62,-74.0,-28.38,-1.94,-1.73,-1.5,-81.97,0.13,0.18,Fail (Down),-115.6,0.72,-78.69,0.22,39.05
DHARMAJ,Dharmaj Crop Guard Limited,0.15,0.16,-21.53,2.12,0.18,0.19,0.17,-37.14,269.35,255.17,Pass (Up),-15.48,0.64,-21.54,1.43,46.23
DHRUV,Dhruv Consultancy Services Limited,-1.73,-1.78,-62.9,-33.49,-2.54,-2.56,-2.28,-63.0,21.84,32.81,Fail (Down),-86.69,0.54,-63.0,0.02,40.5
DHUNINV,Dhunseri Investments Limited,0.9,1.3,-29.32,6.85,0.79,0.99,0.96,-53.46,995.0,960.66,Pass (Up),-20.28,1.04,-31.84,0.34,45.54
DIACABS,Diamond Power Infrastructure Limited,3.68,5.18,150.32,135.33,8.61,9.36,7.47,-27.43,369.05,193.21,Pass (Up),113.33,1.49,0.0,127.86,60.68
DIAMINESQ,Diamines & Chemicals Limited,0.4,0.51,-29.01,3.25,0.36,0.42,0.41,-43.29,258.27,251.04,Pass (Up),-22.6,0.7,-31.04,0.3,45.68
DIAMONDYD,Prataap Snacks Limited,0.36,0.53,4.81,5.88,0.47,0.56,0.49,-27.82,1108.4,1088.76,Pass (Up),13.17,0.54,-9.7,4.67,50.7
DICIND,DIC India Limited,1.1,1.35,7.03,16.73,1.39,1.51,1.37,-19.38,602.1,521.39,Pass (Up),17.56,0.7,-3.33,0.55,50.89
DIFFNKG,Diffusion Engineers Limited,1.72,2.16,14.31,45.46,3.13,3.35,2.81,-40.66,449.5,328.45,Pass (Up),31.07,1.06,-7.42,16.41,51.61
DIGIDRIVE,Digidrive Distributors Limited,-1.06,-1.11,-47.89,-19.16,-1.49,-1.51,-1.36,-48.92,17.15,21.22,Fail (Down),-52.83,1.13,-48.01,0.04,41.44
DIGISPICE,DiGiSPICE Technologies Limited,-1.48,-1.26,-36.79,-17.56,-1.62,-1.51,-1.5,-52.78,16.87,19.89,Fail (Down),-35.69,0.7,-48.2,0.17,44.39
DIGITIDE,Digitide Solutions Limited,0.14,0.22,-54.88,-8.84,-0.37,-0.33,-0.17,-62.96,88.75,102.46,Fail (Down),-59.3,1.35,-54.88,20.86,42.31
DIGJAMLMTD,Digjam Limited,2.26,3.91,21.12,55.02,3.88,4.71,3.89,-36.73,68.42,46.73,Pass (Up),36.23,0.85,0.0,0.3,52.46
DIL,Debock Industries Limited,-5.37,-2.34,-65.97,-45.74,-4.97,-3.46,-4.09,-71.98,0.65,1.15,Fail (Down),-104.92,0.23,-71.98,0.01,33.06
DISHTV,Dish TV India Limited,-1.51,-1.53,-55.52,-20.63,-1.78,-1.79,-1.7,-68.0,2.5,3.22,Fail (Down),-63.11,1.31,-56.52,0.36,41.23
DIVGIITTS,Divgi Torqtransfer Systems Limited,2.26,3.35,80.4,62.82,4.27,4.81,3.96,-21.2,1188.3,788.31,Pass (Up),75.63,0.93,-8.41,31.9,56.96
DIVISLAB,Divi's Laboratories Limited,3.67,4.76,55.61,47.12,4.19,4.73,4.38,-15.44,9322.0,6827.2,Pass (Up),51.75,0.62,-2.64,370.64,58.98
DIXON,Dixon Technologies (India) Limited,0.98,1.29,-25.55,8.6,0.92,1.08,1.05,-47.23,13425.0,12132.3,Pass (Up),-13.56,1.52,-26.76,670.51,45.86
DJML,DJ Mediaprint & Logistics Limited,-0.28,-0.2,-19.47,-0.75,-0.18,-0.14,-0.18,-47.39,82.39,90.13,Fail (Down),-2.31,0.46,-32.31,4.39,48.18
DLF,DLF Limited,0.67,0.65,-13.72,5.0,0.58,0.57,0.61,-35.93,644.5,624.14,Pass (Up),-1.53,1.68,-17.05,271.01,47.72
DLINKINDIA,D-Link (India) Limited,-0.18,-0.18,-5.69,2.24,0.02,0.02,-0.04,-26.05,434.25,423.49,Pass (Up),4.07,0.95,-16.26,9.94,49.17
DMART,Avenue Supermarts Limited,-0.99,-0.87,-19.65,-9.38,-0.97,-0.9,-0.93,-23.64,3688.0,4013.47,Fail (Down),-16.3,0.53,-22.77,230.08,45.85
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,0.97,1.51,-5.14,19.0,1.43,1.7,1.46,-38.02,287.55,255.54,Pass (Up),13.53,1.24,-10.11,2.83,49.42
DNAMEDIA,Diligent Media Corporation Limited,-1.27,-1.37,-49.7,-25.3,-1.9,-1.95,-1.72,-50.7,2.51,3.2,Fail (Down),-55.04,0.72,-49.7,0.01,42.4
DODLA,Dodla Dairy Limited,0.09,0.12,-22.7,-1.34,-0.02,-0.01,0.02,-33.46,1090.8,1117.53,Fail (Down),-16.23,1.06,-24.94,2.66,45.66
DOLATALGO,Dolat Algotech Limited,-0.88,-1.0,-19.89,-11.96,-1.04,-1.1,-1.02,-29.49,69.32,76.12,Fail (Down),-12.24,0.87,-25.9,0.97,47.03
DOLLAR,Dollar Industries Limited,0.63,0.73,-23.45,1.45,0.39,0.44,0.5,-42.37,273.55,286.39,Fail (Down),-14.42,1.05,-28.57,4.59,46.26
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,2.78,3.97,60.05,64.96,4.64,5.23,4.42,-25.83,649.0,427.79,Pass (Up),64.34,0.3,-5.63,3.43,55.22
DOMS,DOMS Industries Limited,-0.85,-0.88,-18.06,-7.86,-0.82,-0.83,-0.84,-23.12,2121.0,2327.22,Fail (Down),-12.18,0.8,-20.55,36.87,46.76
DONEAR,Donear Industries Limited,-0.42,-0.47,-12.2,-6.9,-0.55,-0.58,-0.52,-26.11,85.03,89.87,Fail (Down),-1.54,1.04,-20.18,0.22,48.24
DPABHUSHAN,D. P. Abhushan Limited,1.5,2.14,-14.42,24.24,1.96,2.28,2.02,-45.98,1340.6,1216.92,Pass (Up),0.96,1.25,-18.41,11.43,48.21
DPSCLTD,DPSC Limited,-0.91,-0.99,-41.04,-18.42,-1.38,-1.41,-1.25,-45.77,7.14,8.65,Fail (Down),-42.22,1.01,-45.08,0.07,42.83
DPWIRES,D P Wires Limited,-0.76,-0.93,-44.15,-14.29,-1.09,-1.18,-1.04,-54.61,150.33,174.68,Fail (Down),-44.34,1.01,-46.16,0.62,42.95
DRCSYSTEMS,DRC Systems India Limited,-0.68,-0.78,-43.75,-14.97,-1.09,-1.14,-0.99,-46.41,12.92,15.05,Fail (Down),-47.21,0.65,-43.75,0.07,43.01
DREAMFOLKS,Dreamfolks Services Limited,-0.97,-1.15,-52.14,-20.79,-1.53,-1.61,-1.4,-61.97,66.12,82.14,Fail (Down),-54.64,1.66,-56.03,0.4,42.58
DREDGECORP,Dredging Corporation of India Limited,0.24,0.31,63.91,10.91,0.66,0.7,0.55,-34.17,1039.7,1013.68,Pass (Up),77.45,1.43,-15.64,20.12,53.25
DRREDDY,Dr. Reddy's Laboratories Limited,-0.85,-0.92,-9.99,-8.14,-0.83,-0.87,-0.86,-16.93,1165.5,1246.25,Fail (Down),-5.07,0.5,-14.74,246.76,47.94
DSKULKARNI,DS Kulkarni Developers Limited,2.12,0.26,54.98,54.98,3.81,2.88,2.62,-33.36,21.0,13.84,Pass (Up),52.05,-0.43,0.0,0.0,72.59
DSSL,Dynacons Systems & Solutions Limited,-0.23,-0.13,9.41,3.7,0.07,0.12,0.0,-47.05,1059.1,1114.07,Fail (Down),33.25,1.6,-44.09,5.01,50.67
DTIL,Dhunseri Tea & Industries Limited,0.43,0.63,-24.82,1.23,0.28,0.38,0.39,-43.23,142.91,140.36,Pass (Up),-13.78,1.0,-24.82,0.33,46.11
DUCON,Ducon Infratechnologies Limited,-2.03,-1.72,-67.04,-48.85,-3.46,-3.3,-2.88,-71.79,1.78,3.23,Fail (Down),-83.12,1.52,-71.79,0.19,41.8
DVL,Dhunseri Ventures Limited,1.45,1.67,-17.98,14.96,1.47,1.58,1.54,-48.57,286.2,251.11,Pass (Up),-6.31,1.01,-21.03,0.73,47.13
DWARKESH,Dwarikesh Sugar Industries Limited,0.51,0.58,6.37,7.47,0.63,0.66,0.61,-29.3,44.74,41.57,Pass (Up),17.47,0.21,-19.21,15.27,50.63
DYCL,Dynamic Cables Limited,1.75,2.24,4.35,44.57,3.1,3.35,2.82,-46.74,455.45,346.05,Pass (Up),29.17,1.69,-16.32,64.98,50.45
DYNAMATECH,Dynamatic Technologies Limited,1.44,1.68,81.27,29.45,2.19,2.31,2.02,-21.13,12097.0,10190.4,Pass (Up),79.23,1.33,-3.39,17.17,55.26
DYNPRO,Dynemic Products Limited,0.22,0.22,-34.22,-1.06,0.06,0.06,0.11,-47.49,232.18,235.88,Fail (Down),-28.84,0.74,-36.35,0.37,44.93
E2E,E2E Networks Limited,3.42,3.65,88.01,120.1,7.71,7.83,6.36,-47.77,610.35,342.0,Pass (Up),86.22,0.92,-11.05,74.79,55.85
EASEMYTRIP,Easy Trip Planners Limited,-2.2,-2.04,-31.73,-24.99,-2.35,-2.27,-2.25,-39.88,5.83,7.23,Fail (Down),-14.29,1.74,-39.46,14.61,46.22
EASTSILK,Eastern Silk Industries Limited,0.84,0.82,72.09,10.59,0.95,0.94,0.91,-51.02,64.0,64.49,Fail (Down),71.61,0.46,-32.3,0.01,53.77
EBGNG,GNG Electronics Limited,2.46,3.07,94.05,84.01,5.43,5.73,4.64,-37.93,679.65,429.9,Pass (Up),87.28,0.98,0.0,47.66,56.24
ECLERX,eClerx Services Limited,1.34,1.62,-15.7,14.65,1.41,1.54,1.48,-46.44,1899.6,1802.17,Pass (Up),0.1,1.28,-23.16,64.76,48.28
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,-1.2,-1.33,-60.49,-23.33,-1.77,-1.83,-1.62,-63.87,111.68,148.27,Fail (Down),-70.84,1.78,-60.72,0.75,40.19
EDELWEISS,Edelweiss Financial Services Limited,1.19,1.31,18.58,19.86,1.59,1.65,1.5,-21.89,132.43,113.93,Pass (Up),34.36,1.56,-3.53,69.35,51.92
EDUCOMP,Educomp Solutions Limited,-1.51,-0.68,-37.67,-14.42,-1.48,-1.06,-1.21,-42.48,0.91,1.01,Fail (Down),-45.24,0.15,-40.52,0.0,32.92
EFCIL,EFC (I) Limited,-0.46,-0.47,-39.3,-14.04,-0.93,-0.94,-0.78,-47.3,185.18,218.93,Fail (Down),-35.79,1.05,-43.86,8.03,44.96
EICHERMOT,Eicher Motors Limited,0.38,0.4,12.59,6.35,0.51,0.52,0.47,-19.58,7530.0,7330.78,Pass (Up),22.64,1.28,-7.1,415.98,52.0
EIDPARRY,EID Parry India Limited,-0.71,-0.76,-33.49,-12.58,-0.99,-1.01,-0.91,-35.75,721.05,844.38,Fail (Down),-31.86,1.03,-34.2,40.46,43.76
EIEL,Enviro Infra Engineers Limited,0.8,1.03,-15.98,14.26,1.11,1.23,1.08,-49.49,207.11,194.18,Pass (Up),1.82,1.41,-23.72,56.93,48.12
EIFFL,Euro India Fresh Foods Limited,1.0,1.51,19.97,21.1,1.55,1.81,1.54,-29.38,281.2,259.34,Pass (Up),34.15,0.52,-21.13,1.02,51.86
EIHAHOTELS,EIH Associated Hotels Limited,-0.69,-0.65,-27.65,-11.3,-0.91,-0.89,-0.82,-33.83,287.45,320.18,Fail (Down),-22.99,1.18,-28.83,0.53,44.48
EIHOTEL,EIH Limited,-0.71,-0.65,-27.95,-13.58,-1.04,-1.0,-0.91,-32.16,286.45,323.95,Fail (Down),-22.67,1.08,-28.64,7.38,45.05
EIMCOELECO,Eimco Elecon (India) Limited,2.26,3.24,8.55,42.91,3.28,3.77,3.26,-38.49,2325.5,1696.18,Pass (Up),27.15,1.0,0.0,11.9,50.96
EKC,Everest Kanto Cylinder Limited,-0.5,-0.62,-27.62,-10.58,-0.78,-0.84,-0.73,-40.09,101.8,113.33,Fail (Down),-17.85,1.25,-32.9,3.93,46.09
ELDEHSG,Eldeco Housing And Industries Limited,-0.1,-0.1,2.09,-4.24,-0.26,-0.26,-0.21,-28.17,783.5,838.29,Fail (Down),16.44,0.64,-21.72,0.28,50.18
ELECON,Elecon Engineering Company Limited,-1.17,-1.1,-28.19,-11.26,-1.15,-1.11,-1.13,-43.49,422.1,458.14,Fail (Down),-14.44,1.59,-32.57,26.41,46.54
ELECTCAST,Electrosteel Castings Limited,0.23,0.27,-19.8,3.76,0.3,0.32,0.29,-39.39,77.62,75.03,Pass (Up),-4.98,1.25,-22.04,13.74,47.55
ELECTHERM,Electrotherm (India) Limited,0.02,0.24,-9.57,12.25,0.62,0.73,0.49,-52.18,956.3,871.7,Pass (Up),15.97,1.45,-22.28,3.26,49.12
ELGIEQUIP,Elgi Equipments Limited,1.01,1.08,32.22,19.76,1.49,1.53,1.36,-19.26,617.7,535.27,Pass (Up),41.2,1.3,-3.8,30.47,53.65
ELGIRUBCO,Elgi Rubber Company Limited,0.98,1.47,-16.77,24.48,1.71,1.96,1.63,-53.18,58.48,49.0,Pass (Up),11.27,1.9,-18.29,0.61,48.26
ELIN,Elin Electronics Limited,-1.27,-1.41,-58.42,-28.68,-2.07,-2.14,-1.85,-59.54,90.96,125.24,Fail (Down),-70.87,1.55,-59.54,3.59,41.44
ELLEN,Ellenbarrie Industrial Gases Limited,1.8,2.43,-31.11,41.13,2.96,3.27,2.78,-67.29,380.2,280.76,Pass (Up),-17.6,1.33,-31.11,19.97,44.98
EMAMILTD,Emami Limited,-1.29,-1.26,-38.38,-18.09,-1.55,-1.53,-1.45,-38.53,363.8,442.04,Fail (Down),-41.99,0.72,-38.5,37.89,41.78
EMAMIPAP,Emami Paper Mills Limited,2.02,3.17,10.45,44.55,3.24,3.81,3.22,-47.55,116.0,85.97,Pass (Up),23.25,0.85,-4.4,1.51,51.53
EMAMIREAL,Emami Realty Limited,-0.88,-0.91,-41.15,-8.87,-0.89,-0.9,-0.89,-55.51,69.8,77.37,Fail (Down),-35.0,1.05,-41.15,0.09,44.65
EMBDL,Embassy Developments Limited,-0.45,-0.52,-41.1,-13.73,-0.91,-0.95,-0.78,-62.13,55.28,60.77,Fail (Down),-34.56,1.11,-46.95,17.2,44.77
EMCURE,Emcure Pharmaceuticals Limited,2.05,2.3,44.02,28.71,2.46,2.58,2.41,-9.86,1978.9,1649.57,Pass (Up),45.51,0.52,-1.34,31.44,55.09
EMIL,Electronics Mart India Limited,3.04,4.69,22.47,74.99,5.27,6.1,5.08,-47.62,188.38,118.95,Pass (Up),38.83,1.41,-2.7,101.53,52.73
EMKAY,Emkay Global Financial Services Limited,-0.31,-0.24,15.61,-0.54,-0.18,-0.14,-0.2,-50.39,250.9,248.06,Pass (Up),45.22,1.93,-33.48,0.97,50.97
EMMBI,Emmbi Industries Limited,0.39,0.51,-14.9,-2.21,0.08,0.15,0.23,-47.52,88.95,89.06,Fail (Down),-3.77,1.01,-22.96,0.21,47.98
EMMVEE,Emmvee Photovoltaic Power Limited,1.41,1.55,57.7,41.18,2.76,2.83,2.36,-28.66,346.0,263.33,Pass (Up),82.84,1.03,-5.3,86.31,55.01
EMSLIMITED,EMS Limited,0.99,1.47,-31.19,14.87,1.24,1.48,1.32,-55.74,383.1,364.14,Pass (Up),-16.58,1.23,-34.21,50.99,46.11
EMUDHRA,eMudhra Limited,0.6,0.88,-26.41,0.7,0.33,0.47,0.51,-46.18,494.05,497.51,Fail (Down),-20.51,0.9,-28.72,11.7,45.5
ENDURANCE,Endurance Technologies Limited,0.56,0.62,-7.59,5.46,0.55,0.58,0.58,-25.78,2692.6,2584.93,Pass (Up),2.1,1.01,-11.12,37.0,48.82
ENERGYDEV,Energy Development Company Limited,-0.69,-0.97,-26.36,-12.13,-0.95,-1.09,-0.96,-51.95,14.92,17.21,Fail (Down),-15.78,0.81,-45.49,0.06,46.81
ENGINERSIN,Engineers India Limited,1.44,1.78,30.34,30.02,2.22,2.39,2.07,-21.57,268.95,220.51,Pass (Up),43.93,1.43,-4.61,96.79,53.1
ENIL,Entertainment Network (India) Limited,-0.8,-0.8,-37.11,-10.9,-0.94,-0.95,-0.9,-39.58,101.24,110.34,Fail (Down),-41.01,0.41,-38.55,0.41,42.3
ENRIN,Siemens Energy India Limited,-0.06,-0.09,-5.11,-0.63,-0.06,-0.08,-0.07,-41.07,3181.3,3078.28,Pass (Up),6.06,0.7,-17.84,193.3,49.37
ENTERO,Entero Healthcare Solutions Limited,3.37,5.15,53.43,70.63,5.21,6.11,5.19,-19.78,1815.4,1207.95,Pass (Up),53.23,0.31,-4.37,34.28,55.96
EPACK,EPACK Durable Limited,-1.46,-1.62,-51.23,-25.49,-2.0,-2.08,-1.87,-52.64,185.15,241.43,Fail (Down),-53.66,1.31,-52.64,23.19,42.68
EPACKPEB,EPack Prefab Technologies Limited,0.57,0.7,29.26,13.87,0.98,1.04,0.89,-59.95,240.44,223.49,Pass (Up),59.28,1.75,-27.15,29.96,51.76
EPIGRAL,Epigral Limited,0.25,0.34,-36.84,1.13,0.18,0.23,0.23,-54.94,1131.1,1129.6,Pass (Up),-30.42,1.44,-36.84,10.05,44.04
EPL,EPL Limited,0.95,1.04,6.52,14.47,1.2,1.25,1.15,-19.82,239.3,221.04,Pass (Up),18.62,1.13,-11.4,94.58,50.87
EQUIPPP,Equippp Social Impact Technologies Limited,1.46,1.51,28.09,21.34,1.8,1.82,1.7,-38.75,22.57,19.56,Pass (Up),37.31,0.29,-9.83,0.07,52.21
EQUITASBNK,Equitas Small Finance Bank Limited,0.42,0.51,34.89,14.19,0.92,0.96,0.78,-27.19,73.15,68.51,Pass (Up),43.41,1.29,-11.94,22.19,53.76
ERIS,Eris Lifesciences Limited,-0.24,-0.23,-19.8,-5.67,-0.4,-0.4,-0.34,-25.29,1355.5,1404.51,Fail (Down),-14.72,0.57,-19.9,11.15,46.35
ESABINDIA,Esab India Limited,0.61,0.74,15.89,6.64,0.63,0.7,0.67,-21.81,5884.0,5827.99,Pass (Up),23.82,0.76,-17.36,3.16,52.26
ESAFSFB,ESAF Small Finance Bank Limited,1.8,2.7,35.42,46.66,3.23,3.68,3.05,-34.35,39.61,30.14,Pass (Up),45.96,0.87,-11.41,10.81,53.67
ESCORTS,Escorts Kubota Limited,0.06,0.12,-20.3,-6.35,-0.29,-0.26,-0.15,-30.88,2899.7,3200.08,Fail (Down),-11.86,1.22,-25.61,31.86,46.82
ESSARSHPNG,Essar Shipping Limited,-2.11,-1.95,-32.35,-34.32,-2.77,-2.69,-2.5,-61.56,16.31,24.03,Fail (Down),-13.73,1.83,-60.35,0.52,47.55
ESSENTIA,Integra Essentia Limited,-1.48,-1.44,-43.62,-27.07,-2.09,-2.07,-1.87,-47.4,1.06,1.38,Fail (Down),-33.26,1.47,-44.79,0.44,45.09
ESTER,Ester Industries Limited,-0.05,-0.05,-21.86,-6.16,-0.33,-0.33,-0.24,-41.12,89.89,94.72,Fail (Down),-8.77,1.19,-25.11,1.4,47.03
ETERNAL,ETERNAL LIMITED,2.44,3.27,-1.4,28.12,2.62,3.04,2.84,-39.13,323.5,274.0,Pass (Up),11.7,1.4,-8.71,1009.81,49.79
ETHOSLTD,Ethos Limited,0.69,1.24,10.09,9.43,0.82,1.09,0.96,-36.79,2635.4,2585.15,Pass (Up),22.45,1.11,-17.55,24.18,51.17
EUREKAFORB,Eureka Forbes Limited,-1.31,-1.28,-31.13,-19.84,-1.65,-1.63,-1.53,-39.62,394.15,496.78,Fail (Down),-28.39,0.76,-39.62,7.01,45.4
EUROBOND,Euro Panel Products Limited,-1.02,-1.02,-35.64,-15.17,-1.27,-1.27,-1.19,-41.53,150.46,169.62,Fail (Down),-31.68,1.3,-35.64,0.11,44.24
EUROPRATIK,Euro Pratik Sales Limited,-0.47,-0.48,-0.99,-7.56,-0.61,-0.62,-0.57,-44.91,245.7,271.79,Fail (Down),16.72,0.94,-35.59,5.68,49.91
EUROTEXIND,Eurotex Industries and Exports Limited,-1.46,-1.13,-13.61,-20.87,-1.77,-1.61,-1.56,-48.26,13.2,14.86,Fail (Down),5.81,0.06,-44.02,0.0,48.98
EVEREADY,Eveready Industries India Limited,0.77,0.94,-17.33,7.85,0.78,0.86,0.83,-41.0,363.0,328.75,Pass (Up),-8.04,0.89,-17.88,5.92,47.23
EVERESTIND,Everest Industries Limited,0.62,0.81,-39.12,2.99,0.46,0.55,0.57,-59.68,408.0,428.72,Fail (Down),-33.32,1.2,-43.23,1.64,44.78
EXCELINDUS,Excel Industries Limited,0.56,0.86,-15.11,5.68,0.56,0.71,0.66,-31.27,980.8,945.58,Pass (Up),-5.02,0.98,-16.41,2.94,47.45
EXCELSOFT,Excelsoft Technologies Limited,0.16,0.22,-35.68,-5.04,-0.17,-0.14,-0.04,-47.04,81.03,82.7,Fail (Down),-21.16,1.52,-35.68,8.72,44.5
EXICOM,Exicom Tele-Systems Limited,1.41,1.77,24.7,53.19,3.36,3.54,2.83,-53.43,182.28,127.62,Pass (Up),47.89,1.27,-1.11,39.57,52.12
EXIDEIND,Exide Industries Limited,1.15,1.61,-1.91,16.84,1.42,1.65,1.48,-32.28,412.65,372.29,Pass (Up),9.26,1.17,-15.9,190.26,49.68
EXPLEOSOL,Expleo Solutions Limited,1.3,2.15,1.27,20.56,1.68,2.1,1.83,-42.16,889.5,774.72,Pass (Up),16.04,1.2,-9.49,14.94,50.17
EXXARO,Exxaro Tiles Limited,-0.26,-0.34,-19.14,-10.94,-0.68,-0.72,-0.56,-39.52,6.38,6.99,Fail (Down),-1.97,0.95,-35.69,0.85,47.93
FABTECH,Fabtech Technologies Limited,-0.91,-0.94,-19.07,-11.23,-1.02,-1.03,-0.99,-47.57,147.02,164.14,Fail (Down),-4.59,1.07,-42.2,2.27,47.85
FACT,Fertilizers and Chemicals Travancore Limited,-0.64,-0.87,-20.54,-14.08,-1.02,-1.14,-0.97,-34.13,779.6,841.85,Fail (Down),-9.04,1.19,-22.44,87.51,46.93
FAIRCHEMOR,Fairchem Organics Limited,0.38,0.49,-20.73,1.74,0.28,0.33,0.35,-46.6,623.95,639.41,Fail (Down),-10.66,1.05,-26.32,1.92,47.12
FAZE3Q,Faze Three Limited,-0.07,-0.0,-8.27,1.57,0.04,0.08,0.03,-38.17,489.45,488.58,Pass (Up),16.43,1.57,-21.29,1.52,49.25
FCL,Fineotex Chemical Limited,2.48,3.35,141.61,104.19,6.45,6.88,5.42,-39.97,57.72,31.37,Pass (Up),115.77,1.33,-1.69,72.03,58.56
FCONSUMER,Future Consumer Limited,-4.75,-1.87,-48.84,-38.99,-4.32,-2.88,-3.51,-56.0,0.22,0.34,Fail (Down),-65.53,0.11,-56.0,0.01,30.91
FCSSOFT,FCS Software Solutions Limited,-0.8,-0.91,-40.25,-13.76,-1.09,-1.14,-1.03,-53.39,1.44,1.63,Fail (Down),-37.99,1.03,-42.63,0.22,43.38
FDC,FDC Limited,-1.04,-1.08,-25.62,-12.75,-1.16,-1.18,-1.13,-33.2,341.45,381.15,Fail (Down),-23.44,0.46,-28.97,8.65,45.56
FEDERALBNK,The Federal Bank  Limited,1.77,1.98,75.78,26.64,2.22,2.32,2.14,-15.17,344.5,299.03,Pass (Up),66.45,0.93,-7.0,207.28,59.36
FEDFINA,Fedbank Financial Services Limited,0.46,0.5,4.47,9.77,0.72,0.74,0.64,-31.5,158.53,148.74,Pass (Up),22.05,1.52,-10.13,24.0,50.47
FEL,Future Enterprises Limited,-1.51,-1.07,-40.32,-17.86,-1.65,-1.43,-1.46,-45.31,0.37,0.43,Fail (Down),-47.48,0.19,-42.19,0.01,41.83
FELDVR,Future Enterprises Limited,-1.25,-1.17,-38.01,-24.97,-1.87,-1.83,-1.64,-40.78,2.12,2.72,Fail (Down),-34.34,0.37,-40.78,0.0,46.41
FIBERWEB,Fiberweb (India) Limited,-1.16,-1.08,-39.54,-19.68,-1.56,-1.52,-1.4,-46.72,27.1,33.94,Fail (Down),-38.7,1.11,-43.93,0.07,44.09
FIEMIND,Fiem Industries Limited,-0.68,-0.63,-5.52,-7.88,-0.73,-0.71,-0.7,-24.94,2009.5,2201.79,Fail (Down),7.62,1.33,-24.05,17.54,49.36
FILATEX,Filatex India Limited,2.75,3.61,55.17,79.62,5.36,5.79,4.78,-43.12,87.41,53.8,Pass (Up),64.89,1.46,0.0,36.28,55.2
FILATFASH,Filatex Fashions Limited,-1.23,-0.59,-67.86,-21.74,-1.7,-1.38,-1.33,-78.12,0.18,0.24,Fail (Down),-93.79,1.0,-71.87,0.41,38.95
FINCABLES,Finolex Cables Limited,2.29,2.82,70.0,57.89,4.04,4.3,3.63,-19.85,1424.0,952.48,Pass (Up),69.01,0.96,0.0,136.77,56.42
FINEORG,Fine Organic Industries Limited,0.97,1.05,6.95,11.49,1.06,1.1,1.05,-20.95,5167.5,4641.47,Pass (Up),16.39,0.95,-2.9,12.77,51.06
FINKURVE,Finkurve Financial Services Limited,0.28,0.34,-38.57,-1.5,0.07,0.1,0.16,-58.72,72.49,75.07,Fail (Down),-30.71,0.63,-41.41,0.95,45.16
FINOPB,Fino Payments Bank Limited,-0.23,-0.15,-50.37,-18.84,-1.06,-1.02,-0.76,-66.53,139.83,177.4,Fail (Down),-45.01,1.52,-58.38,53.52,44.1
FINPIPE,Finolex Industries Limited,-1.06,-1.01,-26.35,-12.31,-1.15,-1.12,-1.1,-32.08,153.45,168.84,Fail (Down),-22.99,0.85,-29.25,12.2,44.95
FIRSTCRY,Brainbees Solutions Limited,-2.2,-2.36,-56.72,-29.46,-2.57,-2.65,-2.5,-57.54,168.83,236.17,Fail (Down),-72.04,0.88,-57.54,35.31,39.43
FISCHER,Fischer Medical Ventures Limited,0.08,0.17,-68.33,-7.39,-0.33,-0.29,-0.16,-73.49,35.87,38.6,Fail (Down),-98.75,0.58,-69.53,7.15,38.43
