Ticker,Company Name,Weighted Sharpe,Weighted Sortino,1-Year ROC %,Weighted ROC %,Sharpe + ROC Blend,Sortino + ROC Blend,Master Blend,1-Year Max Drawdown %,Last Close,200-Day MA,Trend Check,Alpha (1Y),Beta (1Y),Dist. from 52W High %,Avg Turnover (Cr),14-Day RSI
ABINFRA,A B Infrabuild Limited,-0.38,-0.41,-42.72,-19.16,-1.15,-1.16,-0.9,-58.16,11.34,14.96,Fail (Down),-39.31,0.99,-47.69,6.83,45.07
ABLBL,Aditya Birla Lifestyle Brands Limited,-1.85,-2.04,-41.8,-20.82,-1.97,-2.06,-1.99,-43.73,83.61,103.18,Fail (Down),-41.1,1.37,-43.17,7.83,43.16
ABMINTLLTD,ABM International Limited,1.01,1.42,21.81,22.03,1.61,1.81,1.54,-39.36,52.5,44.61,Pass (Up),45.84,0.63,-24.32,0.01,51.37
ABREL,Aditya Birla Real Estate Limited,-0.02,-0.01,-28.19,-2.79,-0.15,-0.15,-0.1,-43.3,1281.6,1392.46,Fail (Down),-16.67,1.59,-33.52,25.69,46.23
ABSLAMC,Aditya Birla Sun Life AMC Limited,0.73,0.72,33.08,21.21,1.42,1.42,1.19,-17.6,1109.9,942.68,Pass (Up),41.51,1.02,-5.11,33.25,53.47
ACC,ACC Limited,-1.44,-1.49,-32.02,-14.82,-1.46,-1.49,-1.47,-34.49,1246.5,1477.57,Fail (Down),-30.34,1.22,-34.49,20.74,42.41
ACCELYA,Accelya Solutions India Limited,-0.24,-0.23,-16.25,-5.14,-0.37,-0.37,-0.33,-27.5,1118.4,1178.98,Fail (Down),-11.52,0.72,-20.86,0.72,46.29
ACCURACY,Accuracy Shipping Limited,-1.92,-1.71,-41.07,-17.65,-1.84,-1.74,-1.8,-52.53,4.19,5.11,Fail (Down),-35.3,1.58,-42.68,0.03,43.69
ACE,Action Construction Equipment Limited,1.61,2.01,1.65,23.61,1.99,2.18,1.99,-35.18,1129.0,943.04,Pass (Up),12.73,1.02,-4.53,53.21,50.24
ACEINTEG,Ace Integrated Solutions Limited,-0.33,-0.36,-32.31,-12.23,-0.77,-0.79,-0.64,-42.47,17.62,19.64,Fail (Down),-22.21,0.94,-33.53,0.02,46.21
ACI,Archean Chemical Industries Limited,-1.05,-1.01,-33.69,-14.84,-1.27,-1.25,-1.18,-33.95,470.45,544.77,Fail (Down),-34.51,0.44,-33.95,17.21,44.4
ACL,Andhra Cements Limited,-3.08,-2.79,-54.72,-27.86,-2.93,-2.79,-2.89,-58.4,42.7,55.55,Fail (Down),-70.4,0.78,-56.45,0.07,39.99
ACMESOLAR,Acme Solar Holdings Limited,2.19,2.48,28.66,45.92,3.39,3.54,3.09,-37.59,402.3,295.63,Pass (Up),34.58,0.32,-3.76,76.06,53.45
ACUTAAS,Acutaas Chemicals Limited,1.68,1.7,129.98,57.66,3.72,3.73,3.05,-17.53,3383.7,2573.18,Pass (Up),99.62,0.78,-8.42,121.51,57.65
ADANIENSOL,Adani Energy Solutions Limited,0.6,0.68,68.74,22.2,1.41,1.45,1.16,-23.18,1373.0,1266.31,Pass (Up),69.97,1.45,-21.16,455.27,55.35
ADANIENT,Adani Enterprises Limited,1.37,1.4,27.62,27.48,2.06,2.07,1.84,-34.28,3060.0,2531.01,Pass (Up),40.59,1.56,-4.74,529.68,53.62
ADANIGREEN,Adani Green Energy Limited,0.27,0.41,31.23,17.06,0.99,1.06,0.8,-32.93,1281.3,1185.68,Pass (Up),46.88,1.64,-20.14,308.23,52.94
ADANIPORTS,Adani Ports and Special Economic Zone Limited,0.73,0.78,27.2,14.02,1.07,1.09,0.97,-16.98,1764.6,1609.0,Pass (Up),35.89,1.33,-6.3,386.83,53.95
ADANIPOWER,Adani Power Limited,0.88,1.08,68.07,24.87,1.68,1.78,1.48,-22.15,209.97,184.74,Pass (Up),67.93,0.95,-15.64,520.73,55.58
ADFFOODS,ADF Foods Limited,0.69,0.83,18.14,18.82,1.29,1.36,1.13,-32.87,269.55,240.34,Pass (Up),34.97,1.3,-15.69,13.57,51.86
ADL,Archidply Decor Limited,0.23,0.25,-15.97,-2.04,0.01,0.03,0.09,-43.83,71.54,72.41,Fail (Down),-0.0,0.93,-23.49,0.01,48.47
ADOR,Ador Welding Limited,2.74,3.34,67.23,53.84,4.06,4.36,3.82,-28.61,1603.7,1152.77,Pass (Up),66.3,1.2,-7.32,8.58,56.44
ADROITINFO,Adroit Infotech Limited,1.36,1.41,4.95,13.71,1.37,1.39,1.38,-30.31,11.02,9.66,Pass (Up),16.83,0.83,-6.69,0.03,50.6
ADSL,Allied Digital Services Limited,-1.11,-1.35,-38.75,-16.37,-1.37,-1.49,-1.37,-57.1,100.21,121.38,Fail (Down),-28.26,1.82,-49.98,3.2,45.28
ADVANCE,Advance Agrolife Limited,1.17,1.62,8.82,15.25,1.35,1.57,1.44,-42.43,117.85,114.78,Pass (Up),34.39,1.79,-20.14,4.52,50.74
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,-0.67,-0.63,-15.48,-7.34,-0.7,-0.68,-0.68,-22.86,49.18,52.88,Fail (Down),-8.6,0.8,-18.25,0.15,47.0
ADVENTHTL,Advent Hotels International Limited,-0.77,-0.91,-60.88,-22.64,-1.52,-1.59,-1.31,-63.21,128.56,169.16,Fail (Down),-73.34,2.14,-60.88,4.83,40.33
ADVENZYMES,Advanced Enzyme Technologies Limited,-0.87,-0.66,-13.41,-8.21,-0.84,-0.74,-0.78,-26.03,293.4,313.97,Fail (Down),-1.89,1.01,-24.85,10.45,48.23
AEGISLOG,Aegis Logistics Limited,2.53,3.12,90.36,77.72,5.15,5.45,4.47,-33.27,1353.6,882.81,Pass (Up),84.17,1.24,-4.53,220.07,56.67
AEGISVOPAK,Aegis Vopak Terminals Limited,1.6,1.85,18.26,31.97,2.4,2.52,2.22,-44.1,295.1,232.42,Pass (Up),36.88,1.47,-2.76,50.53,51.78
AEROENTER,Aeroflex Enterprises Limited,1.95,2.47,59.39,59.57,3.95,4.21,3.46,-29.94,137.09,99.7,Pass (Up),69.87,1.38,-11.4,16.86,54.43
AEROFLEX,Aeroflex Industries Limited,2.2,2.74,217.88,117.03,6.95,7.22,5.55,-22.81,563.95,323.7,Pass (Up),145.4,1.72,-1.67,74.42,59.17
AERONEU,Aeroflex Neu Limited,-0.69,-0.69,-36.06,-13.68,-1.03,-1.03,-0.91,-40.68,68.76,80.07,Fail (Down),-26.3,0.81,-36.06,0.46,45.85
AETHER,Aether Industries Limited,3.1,4.23,127.54,68.24,4.96,5.53,4.72,-16.03,1674.7,1176.88,Pass (Up),95.87,0.74,-1.3,56.9,60.03
AFCONS,Afcons Infrastructure Limited,-1.86,-1.88,-43.77,-22.02,-2.03,-2.04,-1.98,-45.12,253.8,319.05,Fail (Down),-48.75,0.77,-45.12,34.15,42.2
AFFLE,Affle 3i Limited,0.5,0.7,-25.34,3.93,0.44,0.55,0.53,-40.9,1567.6,1545.06,Pass (Up),-21.42,0.54,-26.98,58.85,45.78
AFFORDABLE,Affordable Robotic & Automation Limited,-0.33,-0.35,-33.42,-10.9,-0.71,-0.72,-0.59,-57.44,159.88,180.8,Fail (Down),-21.14,1.38,-43.71,0.32,46.35
AFIL,Akme Fintrade (India) Limited,-0.14,-0.2,13.2,5.88,0.22,0.2,0.08,-47.64,8.92,8.25,Pass (Up),29.67,0.99,-18.24,0.77,51.23
AFSL,Abans Financial Services Limited,-0.02,-0.02,-6.85,-0.81,-0.05,-0.05,-0.04,-8.06,201.0,202.09,Fail (Down),-5.03,0.13,-8.06,0.26,47.36
AGARIND,Agarwal Industrial Corporation Limited,-1.53,-1.62,-53.25,-24.26,-1.98,-2.02,-1.86,-63.4,431.75,544.06,Fail (Down),-56.26,1.46,-56.42,7.35,41.94
AGARWALEYE,Dr. Agarwal's Health Care Limited,1.44,1.58,19.36,14.09,1.42,1.5,1.48,-25.5,508.4,473.21,Pass (Up),23.48,0.29,-9.33,51.24,52.7
AGI,AGI Greenpac Limited,1.27,1.72,-10.53,18.34,1.55,1.78,1.61,-48.4,762.65,651.4,Pass (Up),4.84,1.38,-16.02,12.25,48.52
AGIIL,Agi Infra Limited,-1.52,-1.62,16.49,-11.2,-1.32,-1.37,-1.42,-35.19,272.95,313.26,Fail (Down),36.87,1.17,-34.88,54.42,51.2
AGRITECH,Agri-Tech (India) Limited,-1.22,-1.21,-27.8,-14.57,-1.34,-1.33,-1.3,-45.83,99.84,120.22,Fail (Down),-14.43,0.72,-42.29,0.03,46.92
AGROPHOS,Agro Phos India Limited,-1.67,-1.53,-41.01,-29.56,-2.31,-2.24,-2.05,-51.96,23.5,32.48,Fail (Down),-36.94,1.27,-48.02,0.06,44.94
AGSTRA,AGS Transact Technologies Limited,-3.68,-2.48,-61.03,-42.17,-3.95,-3.35,-3.46,-64.54,1.89,3.01,Fail (Down),-85.47,0.53,-64.54,0.02,40.33
AHCL,Anlon Healthcare Limited,1.85,2.16,79.92,45.33,3.19,3.35,2.85,-35.83,19.57,13.97,Pass (Up),75.19,0.5,0.0,12.36,55.9
AHLADA,Ahlada Engineers Limited,-0.88,-1.01,-37.37,-19.92,-1.43,-1.5,-1.29,-53.08,35.06,43.5,Fail (Down),-31.0,1.04,-48.69,0.06,45.32
AHLEAST,Asian Hotels (East) Limited,-1.08,-1.17,-9.05,-9.74,-1.03,-1.07,-1.07,-21.24,133.95,147.92,Fail (Down),-2.21,0.5,-21.24,0.05,48.74
AHLUCONT,Ahluwalia Contracts (India) Limited,-1.86,-1.52,-35.45,-28.89,-2.37,-2.21,-2.09,-43.79,601.0,826.63,Fail (Down),-31.99,0.97,-42.96,4.61,45.39
AHLWEST,Asian Hotels (West) Limited,2.34,2.46,250.33,147.7,8.56,8.62,6.53,-29.43,505.0,348.7,Pass (Up),137.65,0.23,-29.43,0.04,61.12
AIAENG,AIA Engineering Limited,0.02,0.06,35.48,4.95,0.26,0.28,0.19,-19.29,4096.6,4108.94,Fail (Down),39.5,0.7,-19.08,33.92,53.83
AIIL,Authum Investment & Infrastructure Limited,0.34,0.39,-12.18,4.5,0.39,0.42,0.39,-39.32,544.35,519.22,Pass (Up),9.99,1.77,-18.5,29.29,48.71
AIRAN,Airan Limited,0.36,0.46,-33.89,0.01,0.18,0.23,0.28,-52.18,17.13,16.38,Pass (Up),-24.4,1.15,-36.15,0.11,44.75
AIROLAM,Airo Lam limited,-0.09,-0.1,-21.74,-7.9,-0.44,-0.45,-0.33,-31.17,84.25,90.51,Fail (Down),-15.82,0.52,-26.44,0.1,46.6
AJANTPHARM,Ajanta Pharma Limited,1.81,2.19,40.19,22.5,2.03,2.22,2.08,-13.16,3533.4,3017.2,Pass (Up),40.82,0.55,-4.97,35.82,55.81
AJAXENGG,Ajax Engineering Limited,0.74,0.81,-13.09,9.2,0.83,0.87,0.82,-40.79,590.6,546.8,Pass (Up),-0.69,1.15,-13.47,3.97,48.02
AJMERA,Ajmera Realty & Infra India Limited,-0.87,-0.85,-40.68,-19.25,-1.4,-1.39,-1.21,-53.44,116.75,138.82,Fail (Down),-31.68,1.94,-45.63,5.99,44.94
AJOONI,Ajooni Biotech Limited,-0.79,-0.9,-32.75,-16.37,-1.21,-1.27,-1.11,-41.2,3.47,4.15,Fail (Down),-25.84,0.94,-40.68,0.14,45.66
AKASH,Akash Infra-Projects Limited,-0.16,-0.15,-14.31,-4.72,-0.32,-0.31,-0.26,-32.18,24.86,26.04,Fail (Down),0.49,0.73,-27.08,0.02,48.4
AKG,Akg Exim Limited,0.09,0.08,-13.32,-5.32,-0.22,-0.22,-0.12,-42.42,10.61,11.35,Fail (Down),-0.65,0.59,-27.53,0.04,48.37
AKI,AKI India Limited,0.83,1.66,-34.33,8.52,0.84,1.26,1.11,-60.96,6.14,5.4,Pass (Up),-20.62,1.08,-38.84,0.15,45.06
AKSHAR,Akshar Spintex Limited,-0.38,-0.27,-26.79,-8.39,-0.61,-0.55,-0.5,-49.32,0.41,0.46,Fail (Down),-18.22,0.76,-43.84,0.04,45.9
AKSHARCHEM,AksharChem India Limited,4.01,5.15,55.72,103.76,7.2,7.76,6.51,-48.94,423.4,235.43,Pass (Up),60.89,0.73,-6.43,0.4,56.02
AKSHOPTFBR,Aksh Optifibre Limited,1.87,2.38,12.13,46.6,3.27,3.52,2.97,-53.84,8.78,6.1,Pass (Up),31.3,0.69,-0.11,0.2,51.21
AKUMS,Akums Drugs and Pharmaceuticals Limited,2.83,3.55,69.7,56.1,4.22,4.58,4.0,-13.11,776.35,549.04,Pass (Up),64.99,0.97,-0.54,24.57,57.81
ALANKIT,Alankit Limited,-0.63,-0.68,-43.22,-11.63,-0.9,-0.92,-0.82,-51.04,7.91,8.92,Fail (Down),-45.91,1.07,-43.22,0.09,41.74
ALBERTDAVD,Albert David Limited,1.37,2.17,5.63,17.69,1.57,1.97,1.77,-33.52,844.35,726.68,Pass (Up),14.41,0.65,-6.04,0.82,50.92
ALEMBICLTD,Alembic Limited,1.52,1.91,3.02,18.92,1.71,1.9,1.77,-34.27,104.33,90.09,Pass (Up),16.36,1.42,-6.35,11.79,50.47
ALICON,Alicon Castalloy Limited,0.62,0.82,-11.15,2.38,0.43,0.53,0.56,-40.42,733.4,717.11,Pass (Up),2.88,1.32,-25.24,2.37,48.62
ALIVUS,Alivus Life Sciences Limited,2.74,3.81,47.32,43.33,3.54,4.07,3.63,-17.89,1386.8,1047.12,Pass (Up),47.24,0.55,-3.94,19.92,56.53
ALKALI,Alkali Metals Limited,0.34,0.57,-12.43,3.42,0.34,0.46,0.42,-53.89,77.25,72.05,Pass (Up),8.1,0.98,-24.1,0.12,48.56
ALKEM,Alkem Laboratories Limited,-0.65,-0.64,-4.74,-5.45,-0.6,-0.59,-0.61,-12.77,5087.5,5487.9,Fail (Down),1.08,0.7,-12.77,74.57,49.02
ALKYLAMINE,Alkyl Amines Chemicals Limited,0.85,1.13,-8.39,18.65,1.36,1.5,1.28,-41.18,1867.5,1654.74,Pass (Up),6.85,1.44,-10.63,23.99,48.8
ALLCARGO,Allcargo Logistics Limited,1.37,2.09,-61.0,27.21,2.05,2.4,2.06,-79.83,12.16,9.58,Pass (Up),-35.92,1.02,-65.83,22.21,40.06
ALLDIGI,Alldigi Tech Limited,0.26,0.32,-11.54,1.47,0.2,0.23,0.24,-26.01,797.3,788.98,Pass (Up),-3.74,0.79,-13.05,0.79,48.01
ALLTIME,All Time Plastics Limited,-0.4,-0.42,-20.64,-6.61,-0.53,-0.54,-0.49,-39.25,221.15,234.97,Fail (Down),-2.77,1.79,-28.37,1.94,47.64
ALMONDZ,Almondz Global Securities Limited,1.66,2.53,-10.27,31.94,2.43,2.86,2.46,-46.86,19.13,15.06,Pass (Up),13.66,1.46,-10.27,0.35,48.85
ALOKINDS,Alok Industries Limited,-3.43,-3.02,-60.77,-47.28,-4.08,-3.88,-3.73,-61.1,7.36,13.48,Fail (Down),-80.35,1.55,-61.1,12.01,39.13
ALPA,Alpa Laboratories Limited,-0.92,-1.01,-35.36,-13.5,-1.14,-1.18,-1.09,-51.32,61.69,68.6,Fail (Down),-29.26,1.1,-35.36,0.11,44.4
ALPHAGEO,Alphageo (India) Limited,1.89,2.92,22.83,51.75,3.53,4.05,3.33,-38.96,310.25,221.37,Pass (Up),39.68,0.91,-10.54,1.05,52.37
AMANTA,Amanta Healthcare Limited,2.78,3.58,38.6,65.89,4.68,5.09,4.32,-35.27,197.75,132.64,Pass (Up),46.11,0.76,-3.95,1.37,54.01
AMBER,Amber Enterprises India Limited,-0.04,-0.03,-8.26,2.22,0.09,0.1,0.05,-35.38,7245.0,7239.83,Pass (Up),6.6,1.36,-18.07,228.61,48.97
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,0.19,0.17,-6.3,0.3,0.11,0.1,0.13,-25.54,24.99,24.51,Pass (Up),2.57,0.69,-9.46,0.04,49.09
AMBIKCO,Ambika Cotton Mills Limited,0.51,0.55,8.53,10.39,0.78,0.79,0.7,-26.06,1593.1,1472.38,Pass (Up),20.57,1.15,-16.34,3.19,51.23
AMBUJACEM,Ambuja Cements Limited,-1.02,-1.04,-29.73,-14.31,-1.22,-1.23,-1.16,-33.44,391.85,464.1,Fail (Down),-22.94,1.58,-33.44,105.06,44.47
AMDIND,AMD Industries Limited,1.93,2.93,27.88,46.06,3.27,3.77,3.16,-45.4,64.03,46.5,Pass (Up),45.55,1.21,0.0,0.22,52.54
AMJLAND,Amj Land Holdings Limited,0.02,0.02,-30.9,-7.27,-0.35,-0.35,-0.23,-44.75,38.56,41.32,Fail (Down),-23.64,1.26,-32.27,0.04,45.29
AMNPLST,Amines & Plasticizers Limited,-0.67,-0.73,-26.13,-7.19,-0.69,-0.72,-0.7,-44.13,165.26,179.71,Fail (Down),-13.56,1.09,-28.11,0.22,46.54
AMRUTANJAN,Amrutanjan Health Care Limited,-1.13,-1.03,-33.73,-14.51,-1.29,-1.24,-1.2,-35.99,490.95,567.15,Fail (Down),-35.7,0.47,-35.25,4.9,43.04
ANANDRATHI,Anand Rathi Wealth Limited,3.74,4.52,50.59,39.4,3.84,4.23,4.07,-11.98,2211.0,1755.87,Pass (Up),46.83,0.47,-0.83,73.57,59.04
ANANTRAJ,Anant Raj Limited,1.21,1.43,13.34,18.95,1.55,1.66,1.51,-44.85,598.35,541.1,Pass (Up),33.54,1.67,-18.52,154.71,51.23
ANDHRAPAP,ANDHRA PAPER LIMITED,1.26,1.85,-7.16,14.25,1.34,1.64,1.51,-31.51,73.36,63.81,Pass (Up),0.71,0.73,-13.31,8.65,48.61
ANDHRSUGAR,The Andhra Sugars Limited,1.36,1.69,27.65,25.49,1.95,2.12,1.87,-25.09,96.38,82.38,Pass (Up),37.54,0.91,-7.28,8.67,53.11
